,TNC_CLUSTER,Year,TOT_POP_CLUSTER
16,1.0,2018,20439139.75
33,2.0,2018,4769258.75
50,3.0,2018,6287895.75
67,4.0,2018,9540305.25
84,5.0,2018,4873125.5
101,6.0,2018,2013693.25
118,7.0,2018,6115491.25
135,8.0,2018,13379096.75
152,9.0,2018,6241665.75
169,10.0,2018,3357194.0
186,11.0,2018,3934484.5
203,12.0,2018,2480006.5
220,13.0,2018,2323981.5
237,14.0,2018,5971749.75
254,15.0,2018,2815511.5
271,16.0,2018,4815821.25
288,17.0,2018,7558997.5
305,18.0,2018,3644417.75
322,19.0,2018,2924276.25
339,20.0,2018,7011275.75
356,21.0,2018,80433710.25
373,22.0,2018,42594017.0
