,Year,Mode,CLUSTER_APTA4,UPT_ADJ,Service,Land_Use,FARE_per_UPT_cleaned_2018_log_FAC,Income_and_Household_Characteristics,GAS_PRICE_2018_log_FAC,New_Competing_Modes,Service_cumsum,Land_Use_cumsum,FARE_per_UPT_cleaned_2018_log_FAC_cumsum,Income_and_Household_Characteristics_cumsum,GAS_PRICE_2018_log_FAC_cumsum,New_Competing_Modes_cumsum,UPT_ADJ_Service_cumsum,UPT_ADJ_Land_Use_cumsum,UPT_ADJ_FARE_per_UPT_cleaned_2018_log_FAC_cumsum,UPT_ADJ_Income_and_Household_Characteristics_cumsum,UPT_ADJ_GAS_PRICE_2018_log_FAC_cumsum,UPT_ADJ_New_Competing_Modes_cumsum
85,2002,1,2.0,47.103514999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.103514999999994,47.103514999999994,47.103514999999994,47.103514999999994,47.103514999999994,47.103514999999994
86,2003,1,2.0,47.597707999999976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.597707999999976,47.597707999999976,47.597707999999976,47.597707999999976,47.597707999999976,47.597707999999976
87,2004,1,2.0,52.27665900000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.27665900000001,52.27665900000001,52.27665900000001,52.27665900000001,52.27665900000001,52.27665900000001
88,2005,1,2.0,58.69011300000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.69011300000001,58.69011300000001,58.69011300000001,58.69011300000001,58.69011300000001,58.69011300000001
89,2006,1,2.0,64.42494499999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.42494499999997,64.42494499999997,64.42494499999997,64.42494499999997,64.42494499999997,64.42494499999997
90,2007,1,2.0,70.01492400000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.01492400000002,70.01492400000002,70.01492400000002,70.01492400000002,70.01492400000002,70.01492400000002
91,2008,1,2.0,83.55406099999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.55406099999996,83.55406099999996,83.55406099999996,83.55406099999996,83.55406099999996,83.55406099999996
92,2009,1,2.0,73.67287900000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.67287900000001,73.67287900000001,73.67287900000001,73.67287900000001,73.67287900000001,73.67287900000001
93,2010,1,2.0,70.89416699999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.89416699999998,70.89416699999998,70.89416699999998,70.89416699999998,70.89416699999998,70.89416699999998
94,2011,1,2.0,75.27340499999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.27340499999997,75.27340499999997,75.27340499999997,75.27340499999997,75.27340499999997,75.27340499999997
95,2012,1,2.0,81.67368700000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.67368700000003,81.67368700000003,81.67368700000003,81.67368700000003,81.67368700000003,81.67368700000003
96,2013,1,2.0,85.76816599999997,7317815.733065844,187724.13761446584,-928315.9342274308,-128523.25425946563,-355006.6870922112,-209192.4238880344,7.317815733065844,0.18772413761446585,-0.9283159342274309,-0.12852325425946562,-0.3550066870922112,-0.20919242388803438,78.45035026693412,85.5804418623855,86.69648193422739,85.89668925425943,86.12317268709218,85.977358423888
97,2014,1,2.0,84.11798599999999,1612479.800577918,125776.03848850197,54041.14878527308,-72349.86789811785,-527911.1253081422,-407214.30178296054,8.930295533643761,0.3135001761029678,-0.8742747854421578,-0.2008731221575835,-0.8829178124003534,-0.616406725670995,75.18769046635623,83.80448582389702,84.99226078544214,84.31885912215758,85.00090381240034,84.73439272567099
98,2015,1,2.0,82.76097700000003,782706.6984019931,210391.5251403571,-421530.20225797326,-418220.9011608062,-2808912.4454119275,-1846235.1362528396,9.713002232045755,0.523891701243325,-1.295804987700131,-0.6190940233183897,-3.6918302578122812,-2.462641861923834,73.04797476795427,82.2370852987567,84.05678198770016,83.38007102331842,86.45280725781231,85.22361886192385
99,2016,1,2.0,81.65215700000003,1944925.4558483444,61108.346249563896,744474.7161317499,-534912.1367432228,-1010103.1912213634,-1929749.924044317,11.657927687894098,0.5850000474928888,-0.5513302715683811,-1.1540061600616125,-4.701933449033644,-4.392391785968151,69.99422931210593,81.06715695250715,82.2034872715684,82.80616316006164,86.35409044903368,86.04454878596817
100,2017,1,2.0,78.50408999999999,183029.61229588644,95488.0191415307,-271231.0913309975,-180131.19474609525,739990.4385787869,-1935427.0556708402,11.840957300189984,0.6804880666344195,-0.8225613628993786,-1.3341373548077078,-3.961943010454857,-6.327818841638992,66.66313269981,77.82360193336557,79.32665136289937,79.8382273548077,82.46603301045485,84.83190884163898
101,2018,1,2.0,76.85119700000004,2235770.3991232715,258395.13015029058,150411.50714174443,-281205.4320346186,888909.8395810002,-3548680.886174144,14.076727699313256,0.93888319678471,-0.6721498557576342,-1.6153427868423265,-3.073033170873857,-9.876499727813135,62.77446930068679,75.91231380321533,77.52334685575768,78.46653978684236,79.9242301708739,86.72769672781318
